THI_band,n,milk_raw,SCS_raw,milk_wi,SCS_wi,THI_mid
"(45, 48]",98136,8.896381552131736,3.262140519808779,-0.35108095335319095,0.10547625915003066,46.5
"(48, 51]",154665,9.064580221769631,3.2859087010528607,-0.18428094842307194,0.08856589189470612,49.5
"(51, 54]",156130,9.236566963427912,3.175772189551418,-0.09485602006791813,0.039658302432530795,52.5
"(54, 57]",150854,9.340105665080143,3.17695651316494,-0.016428130277456626,0.027151376433521557,55.5
"(57, 60]",149061,9.375953468714151,3.1752790211687967,0.05754742415862355,0.016773433978926684,58.5
"(60, 63]",142372,9.46706304610457,3.0850318433376582,0.12462706569441483,-0.04405766474454341,61.5
"(63, 66]",139090,9.41000287583579,3.051644725976442,0.0553814548043179,-0.07128712100730883,64.5
"(66, 69]",137899,9.546455014177043,3.041289116321375,0.13594766924036056,-0.0750270985300387,67.5
"(69, 72]",143553,9.501866906299416,3.111459035859874,0.10097044778567897,-0.04529894972415358,70.5
"(72, 75]",151242,9.523748694145807,3.0634993452736494,0.10681847258461236,-0.030554706006254213,73.5
"(75, 78]",92930,9.844372108038309,3.0144888351218935,0.18517232718543394,-0.0554907625958105,76.5
"(78, 81]",24689,9.381809712827575,2.9770326414279684,-0.07418730116527196,-0.008491026716568886,79.5
