,milk_kg,fat_p,protein_p,SCS,ECM,DIM,parity,true_AFC_days
milk_kg,1.0,-0.373,-0.344,-0.189,0.921,-0.561,0.112,0.003
fat_p,-0.373,1.0,0.417,0.145,-0.031,0.453,-0.032,0.008
protein_p,-0.344,0.417,1.0,0.082,-0.162,0.364,-0.058,-0.014
SCS,-0.189,0.145,0.082,1.0,-0.149,0.129,0.164,-0.004
ECM,0.921,-0.031,-0.162,-0.149,1.0,-0.423,0.107,0.007
DIM,-0.561,0.453,0.364,0.129,-0.423,1.0,-0.053,0.001
parity,0.112,-0.032,-0.058,0.164,0.107,-0.053,1.0,0.224
true_AFC_days,0.003,0.008,-0.014,-0.004,0.007,0.001,0.224,1.0
